id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthCountry,birthStateProvince,positionType,season,team
8470621,https://assets.nhle.com/mugs/nhl/20162017/ANA/8470621.png,Corey,Perry,10,R,R,75,208,191,94,1985-05-16,Peterborough,CAN,ON,forwards,20162017,ANA
8476483,https://assets.nhle.com/mugs/nhl/20162017/ANA/8476483.png,Rickard,Rakell,67,L,R,73,195,185,88,1993-05-05,Sundbyberg,SWE,,forwards,20162017,ANA
8471664,https://assets.nhle.com/mugs/nhl/20162017/ANA/8471664.png,Mason,Raymond,39,L,L,73,179,185,81,1985-09-17,Cochrane,CAN,AB,forwards,20162017,ANA
8477941,https://assets.nhle.com/mugs/nhl/20162017/ANA/8477941.png,Nick,Ritchie,37,L,L,75,236,191,107,1995-12-05,Orangeville,CAN,ON,forwards,20162017,ANA
8475958,https://assets.nhle.com/mugs/nhl/20162017/ANA/8475958.png,Michael,Sgarbossa,48,C,L,72,179,183,81,1992-07-25,Campbellville,CAN,ON,forwards,20162017,ANA
8476400,https://assets.nhle.com/mugs/nhl/20162017/ANA/8476400.png,Logan,Shaw,48,C,R,75,208,191,94,1992-10-05,Glace Bay,CAN,NS,forwards,20162017,ANA
8475164,https://assets.nhle.com/mugs/nhl/20162017/ANA/8475164.png,Jakob,Silfverberg,33,R,R,73,207,185,94,1990-10-13,Gavle,SWE,,forwards,20162017,ANA
8477466,https://assets.nhle.com/mugs/nhl/20162017/ANA/8477466.png,Nick,Sorensen,59,R,R,73,182,185,83,1994-10-23,Farevejle,DNK,,forwards,20162017,ANA
8470775,https://assets.nhle.com/mugs/nhl/20162017/ANA/8470775.png,Nate,Thompson,44,C,L,73,205,185,93,1984-10-05,Anchorage,USA,AK,forwards,20162017,ANA
8474130,https://assets.nhle.com/mugs/nhl/20162017/ANA/8474130.png,Corey,Tropp,41,R,R,72,192,183,87,1989-07-25,Grosse Pointe Woods,USA,MI,forwards,20162017,ANA
8468535,https://assets.nhle.com/mugs/nhl/20162017/ANA/8468535.png,Antoine,Vermette,50,C,L,73,197,185,89,1982-07-20,St. Agapit,CAN,QC,forwards,20162017,ANA
8475780,https://assets.nhle.com/mugs/nhl/20162017/ANA/8475780.png,Chris,Wagner,21,C,R,72,192,183,87,1991-05-27,Walpole,USA,MA,forwards,20162017,ANA
8469598,https://assets.nhle.com/mugs/nhl/20162017/ANA/8469598.png,Kevin,Bieksa,3,D,R,73,197,185,89,1981-06-16,Grimsby,CAN,ON,defensemen,20162017,ANA
8475155,https://assets.nhle.com/mugs/nhl/20162017/ANA/8475155.png,Simon,Despres,6,D,L,76,218,193,99,1991-07-27,Laval,CAN,QC,defensemen,20162017,ANA
8475764,https://assets.nhle.com/mugs/nhl/20162017/ANA/8475764.png,Cam,Fowler,4,D,L,74,215,188,98,1991-12-05,Windsor,CAN,ON,defensemen,20162017,ANA
8473560,https://assets.nhle.com/mugs/nhl/20162017/ANA/8473560.png,Korbinian,Holzer,5,D,R,75,213,191,97,1988-02-16,Munich,DEU,,defensemen,20162017,ANA
8478491,https://assets.nhle.com/mugs/nhl/20162017/ANA/8478491.png,Jacob,Larsson,32,D,L,74,193,188,88,1997-04-29,Ljungby,SWE,,defensemen,20162017,ANA
8476854,https://assets.nhle.com/mugs/nhl/20162017/ANA/8476854.png,Hampus,Lindholm,47,D,L,76,215,193,98,1994-01-20,Helsingborg,SWE,,defensemen,20162017,ANA
8476312,https://assets.nhle.com/mugs/nhl/20162017/ANA/8476312.png,Josh,Manson,42,D,R,75,218,191,99,1991-10-07,Hinsdale,USA,IL,defensemen,20162017,ANA
8477034,https://assets.nhle.com/mugs/nhl/20162017/ANA/8477034.png,Jaycob,Megna,43,D,L,78,220,198,100,1992-12-10,Plantation,USA,FL,defensemen,20162017,ANA
8477986,https://assets.nhle.com/mugs/nhl/20162017/ANA/8477986.png,Brandon,Montour,26,D,R,72,194,183,88,1994-04-11,Brantford,CAN,ON,defensemen,20162017,ANA
8470886,https://assets.nhle.com/mugs/nhl/20162017/ANA/8470886.png,Clayton,Stoner,3,D,L,76,216,193,98,1985-02-19,Port McNeill,CAN,BC,defensemen,20162017,ANA
8477447,https://assets.nhle.com/mugs/nhl/20162017/ANA/8477447.png,Shea,Theodore,53,D,L,74,197,188,89,1995-08-03,Aldergrove,CAN,BC,defensemen,20162017,ANA
8475222,https://assets.nhle.com/mugs/nhl/20162017/ANA/8475222.png,Sami,Vatanen,45,D,R,70,185,178,84,1991-06-03,Jyväskylä,FIN,,defensemen,20162017,ANA
8473541,https://assets.nhle.com/mugs/nhl/20162017/ANA/8473541.png,Jonathan,Bernier,1,G,L,72,185,183,84,1988-08-07,Laval,CAN,QC,goalies,20162017,ANA
8476434,https://assets.nhle.com/mugs/nhl/20162017/ANA/8476434.png,John,Gibson,36,G,L,74,210,188,95,1993-07-14,Pittsburgh,USA,PA,goalies,20162017,ANA
8474682,https://assets.nhle.com/mugs/nhl/20162017/ANA/8474682.png,Dustin,Tokarski,30,G,L,72,198,183,90,1989-09-16,Watson,CAN,SK,goalies,20162017,ANA
8475788,https://assets.nhle.com/mugs/nhl/20162017/ARI/8475788.png,Alexander,Burmistrov,91,C,L,73,180,185,82,1991-10-21,Kazan,RUS,,forwards,20162017,ARI
8478474,https://assets.nhle.com/mugs/nhl/20162017/ARI/8478474.png,Lawson,Crouse,67,L,L,76,215,193,98,1997-06-23,Mt. Brydges,CAN,ON,forwards,20162017,ARI
8477460,https://assets.nhle.com/mugs/nhl/20162017/ARI/8477460.png,Laurent,Dauphin,26,C,L,72,186,183,84,1995-03-27,Repentigny,CAN,QC,forwards,20162017,ARI
8462038,https://assets.nhle.com/mugs/nhl/20162017/ARI/8462038.png,Shane,Doan,19,R,R,73,223,185,101,1976-10-10,Halkirk,CAN,AB,forwards,20162017,ARI
8477503,https://assets.nhle.com/mugs/nhl/20162017/ARI/8477503.png,Max,Domi,16,L,L,70,194,178,88,1995-03-02,Winnipeg,CAN,MB,forwards,20162017,ARI
8477407,https://assets.nhle.com/mugs/nhl/20162017/ARI/8477407.png,Anthony,Duclair,10,L,L,71,197,180,89,1995-08-26,Pointe-Claire,CAN,QC,forwards,20162017,ARI
8477989,https://assets.nhle.com/mugs/nhl/20162017/ARI/8477989.png,Christian,Dvorak,18,C,L,73,193,185,88,1996-02-02,Palos,USA,IL,forwards,20162017,ARI
8478432,https://assets.nhle.com/mugs/nhl/20162017/ARI/8478432.png,Christian,Fischer,36,R,R,74,212,188,96,1997-04-15,Chicago,USA,IL,forwards,20162017,ARI
8477715,https://assets.nhle.com/mugs/nhl/20162017/ARI/8477715.png,Tyler,Gaudet,45,C,L,75,217,191,98,1993-04-04,Hamilton,CAN,ON,forwards,20162017,ARI
8471691,https://assets.nhle.com/mugs/nhl/20162017/ARI/8471691.png,Martin,Hanzal,11,C,L,78,230,198,104,1987-02-20,Pisek,CZE,,forwards,20162017,ARI
8475180,https://assets.nhle.com/mugs/nhl/20162017/ARI/8475180.png,Peter,Holland,13,C,L,74,193,188,88,1991-01-14,Toronto,CAN,ON,forwards,20162017,ARI
8477591,https://assets.nhle.com/mugs/nhl/20162017/ARI/8477591.png,Josh,Jooris,86,R,R,73,198,185,90,1990-07-14,Burlington,CAN,ON,forwards,20162017,ARI
8479343,https://assets.nhle.com/mugs/nhl/20162017/ARI/8479343.png,Clayton,Keller,9,R,L,70,178,178,81,1998-07-29,Chesterfield,USA,MO,forwards,20162017,ARI
8476921,https://assets.nhle.com/mugs/nhl/20162017/ARI/8476921.png,Jordan,Martinook,48,L,L,72,196,183,89,1992-07-25,Brandon,CAN,MB,forwards,20162017,ARI
8473465,https://assets.nhle.com/mugs/nhl/20162017/ARI/8473465.png,Jamie,McGinn,88,L,L,73,205,185,93,1988-08-05,Fergus,CAN,ON,forwards,20162017,ARI
8477943,https://assets.nhle.com/mugs/nhl/20162017/ARI/8477943.png,Brendan,Perlini,11,L,L,75,211,191,96,1996-04-27,Guildford,GBR,,forwards,20162017,ARI
8475800,https://assets.nhle.com/mugs/nhl/20162017/ARI/8475800.png,Teemu,Pulkkinen,12,L,R,70,185,178,84,1992-01-02,Vantaa,FIN,,forwards,20162017,ARI
8470755,https://assets.nhle.com/mugs/nhl/20162017/ARI/8470755.png,Brad,Richardson,15,C,L,72,190,183,86,1985-02-04,Belleville,CAN,ON,forwards,20162017,ARI
8476356,https://assets.nhle.com/mugs/nhl/20162017/ARI/8476356.png,Tobias,Rieder,8,R,L,71,189,180,86,1993-01-10,Landshut,DEU,,forwards,20162017,ARI
8478440,https://assets.nhle.com/mugs/nhl/20162017/ARI/8478440.png,Dylan,Strome,20,C,L,75,200,191,91,1997-03-07,Mississauga,CAN,ON,forwards,20162017,ARI
8468085,https://assets.nhle.com/mugs/nhl/20162017/ARI/8468085.png,Radim,Vrbata,17,R,R,73,194,185,88,1981-06-13,Mlada Boleslav,CZE,,forwards,20162017,ARI
8473466,https://assets.nhle.com/mugs/nhl/20162017/ARI/8473466.png,Ryan,White,25,C,R,72,200,183,91,1988-03-17,Brandon,CAN,MB,forwards,20162017,ARI
8479345,https://assets.nhle.com/mugs/nhl/20162017/ARI/8479345.png,Jakob,Chychrun,6,D,L,74,220,188,100,1998-03-31,Boca Raton,USA,FL,defensemen,20162017,ARI
8475246,https://assets.nhle.com/mugs/nhl/20162017/ARI/8475246.png,Kevin,Connauton,44,D,L,74,205,188,93,1990-02-23,Edmonton,CAN,AB,defensemen,20162017,ARI
8477950,https://assets.nhle.com/mugs/nhl/20162017/ARI/8477950.png,Tony,DeAngelo,77,D,R,71,180,180,82,1995-10-24,Sewell,USA,NJ,defensemen,20162017,ARI
8475171,https://assets.nhle.com/mugs/nhl/20162017/ARI/8475171.png,Oliver,Ekman-Larsson,23,D,L,74,200,188,91,1991-07-17,Karlskrona,SWE,,defensemen,20162017,ARI
8471274,https://assets.nhle.com/mugs/nhl/20162017/ARI/8471274.png,Alex,Goligoski,33,D,L,71,173,180,78,1985-07-30,Grand Rapids,USA,MN,defensemen,20162017,ARI
8473571,https://assets.nhle.com/mugs/nhl/20162017/ARI/8473571.png,Jamie,McBain,21,D,R,73,195,185,88,1988-02-25,Edina,USA,MN,defensemen,20162017,ARI
8469760,https://assets.nhle.com/mugs/nhl/20162017/ARI/8469760.png,Zbynek,Michalek,4,D,R,74,210,188,95,1982-12-23,Jindrichuv Hradec,CZE,,defensemen,20162017,ARI
8476473,https://assets.nhle.com/mugs/nhl/20162017/ARI/8476473.png,Connor,Murphy,5,D,R,76,212,193,96,1993-03-26,Dublin,USA,OH,defensemen,20162017,ARI
8474568,https://assets.nhle.com/mugs/nhl/20162017/ARI/8474568.png,Luke,Schenn,2,D,R,74,225,188,102,1989-11-02,Saskatoon,CAN,SK,defensemen,20162017,ARI
8474628,https://assets.nhle.com/mugs/nhl/20162017/ARI/8474628.png,Michael,Stone,26,D,R,75,210,191,95,1990-06-07,Winnipeg,CAN,MB,defensemen,20162017,ARI
8475839,https://assets.nhle.com/mugs/nhl/20162017/ARI/8475839.png,Louis,Domingue,35,G,R,75,208,191,94,1992-03-06,St-Hyacinthe,CAN,QC,goalies,20162017,ARI
8476986,https://assets.nhle.com/mugs/nhl/20162017/ARI/8476986.png,Marek,Langhamer,30,G,L,74,190,188,86,1994-07-22,Moravska Trebova,CZE,,goalies,20162017,ARI
8471251,https://assets.nhle.com/mugs/nhl/20162017/ARI/8471251.png,Justin,Peters,40,G,L,73,210,185,95,1986-08-30,Blyth,CAN,ON,goalies,20162017,ARI
8469608,https://assets.nhle.com/mugs/nhl/20162017/ARI/8469608.png,Mike,Smith,41,G,L,77,220,196,100,1982-03-22,Kingston,CAN,ON,goalies,20162017,ARI
8478569,https://assets.nhle.com/mugs/nhl/20162017/BOS/8478569.png,Noel,Acciari,55,C,R,70,209,178,95,1991-12-01,Johnston,USA,RI,forwards,20162017,BOS
8470655,https://assets.nhle.com/mugs/nhl/20162017/BOS/8470655.png,David,Backes,42,R,R,75,215,191,98,1984-05-01,Minneapolis,USA,MN,forwards,20162017,BOS
8473492,https://assets.nhle.com/mugs/nhl/20162017/BOS/8473492.png,Matt,Beleskey,39,L,L,72,207,183,94,1988-06-07,Windsor,CAN,ON,forwards,20162017,BOS
8470638,https://assets.nhle.com/mugs/nhl/20162017/BOS/8470638.png,Patrice,Bergeron,37,C,R,73,196,185,89,1985-07-24,L'Ancienne-Lorette,CAN,QC,forwards,20162017,BOS
8477320,https://assets.nhle.com/mugs/nhl/20162017/BOS/8477320.png,Anton,Blidh,81,L,L,73,197,185,89,1995-03-14,Molnlycke,SWE,,forwards,20162017,BOS
8477417,https://assets.nhle.com/mugs/nhl/20162017/BOS/8477417.png,Peter,Cehlarik,22,L,L,74,202,188,92,1995-08-02,Zilina,SVK,,forwards,20162017,BOS
8478512,https://assets.nhle.com/mugs/nhl/20162017/BOS/8478512.png,Austin,Czarnik,27,C,R,69,170,175,77,1992-12-12,Detroit,USA,MI,forwards,20162017,BOS
8478417,https://assets.nhle.com/mugs/nhl/20162017/BOS/8478417.png,Jakob,Forsbacka Karlsson,23,C,R,73,184,185,83,1996-10-31,Stockholm,SWE,,forwards,20162017,BOS
8474625,https://assets.nhle.com/mugs/nhl/20162017/BOS/8474625.png,Jimmy,Hayes,11,R,R,77,215,196,98,1989-11-21,Dorchester,USA,MA,forwards,20162017,BOS
8478046,https://assets.nhle.com/mugs/nhl/20162017/BOS/8478046.png,Danton,Heinen,43,C,L,73,188,185,85,1995-07-05,Langley,CAN,BC,forwards,20162017,BOS
8471276,https://assets.nhle.com/mugs/nhl/20162017/BOS/8471276.png,David,Krejci,46,C,R,72,192,183,87,1986-04-28,Sternberk,CZE,,forwards,20162017,BOS
8476374,https://assets.nhle.com/mugs/nhl/20162017/BOS/8476374.png,Sean,Kuraly,52,C,L,74,213,188,97,1993-01-20,Niagara Falls,USA,NY,forwards,20162017,BOS
8473419,https://assets.nhle.com/mugs/nhl/20162017/BOS/8473419.png,Brad,Marchand,63,L,L,69,176,175,80,1988-05-11,Halifax,CAN,NS,forwards,20162017,BOS
8468575,https://assets.nhle.com/mugs/nhl/20162017/BOS/8468575.png,Dominic,Moore,28,C,L,72,192,183,87,1980-08-03,Thornhill,CAN,ON,forwards,20162017,BOS
8474062,https://assets.nhle.com/mugs/nhl/20162017/BOS/8474062.png,Riley,Nash,20,C,R,74,188,188,85,1989-05-09,Consort,CAN,AB,forwards,20162017,BOS
8477956,https://assets.nhle.com/mugs/nhl/20162017/BOS/8477956.png,David,Pastrnak,88,R,R,73,195,185,88,1996-05-25,Havirov,CZE,,forwards,20162017,BOS
8477213,https://assets.nhle.com/mugs/nhl/20162017/BOS/8477213.png,Tim,Schaller,59,C,L,74,204,188,93,1990-11-16,Merrimack,USA,NH,forwards,20162017,BOS
8475727,https://assets.nhle.com/mugs/nhl/20162017/BOS/8475727.png,Ryan,Spooner,51,C,L,71,191,180,87,1992-01-30,Ottawa,CAN,ON,forwards,20162017,BOS
8471226,https://assets.nhle.com/mugs/nhl/20162017/BOS/8471226.png,Drew,Stafford,19,R,R,74,215,188,98,1985-10-30,Milwaukee,USA,WI,forwards,20162017,BOS
8478366,https://assets.nhle.com/mugs/nhl/20162017/BOS/8478366.png,Frank,Vatrano,72,C,L,71,197,180,89,1994-03-14,East Longmeadow,USA,MA,forwards,20162017,BOS
8478443,https://assets.nhle.com/mugs/nhl/20162017/BOS/8478443.png,Brandon,Carlo,25,D,R,78,218,198,99,1996-11-26,Colorado Springs,USA,CO,defensemen,20162017,BOS
8465009,https://assets.nhle.com/mugs/nhl/20162017/BOS/8465009.png,Zdeno,Chara,33,D,L,81,250,206,113,1977-03-18,Trencin,SVK,,defensemen,20162017,BOS
8474019,https://assets.nhle.com/mugs/nhl/20162017/BOS/8474019.png,Tommy,Cross,56,D,L,75,209,191,95,1989-09-12,Hartford,USA,CT,defensemen,20162017,BOS
8476891,https://assets.nhle.com/mugs/nhl/20162017/BOS/8476891.png,Matt,Grzelcyk,48,D,L,70,176,178,80,1994-01-05,Charlestown,USA,MA,defensemen,20162017,BOS
8476792,https://assets.nhle.com/mugs/nhl/20162017/BOS/8476792.png,Torey,Krug,47,D,L,69,194,175,88,1991-04-12,Livonia,USA,MI,defensemen,20162017,BOS
8468639,https://assets.nhle.com/mugs/nhl/20162017/BOS/8468639.png,John-Michael,Liles,26,D,L,70,185,178,84,1980-11-25,Indianapolis,USA,IN,defensemen,20162017,BOS
8479325,https://assets.nhle.com/mugs/nhl/20162017/BOS/8479325.png,Charlie,McAvoy,73,D,R,73,209,185,95,1997-12-21,Long Beach,USA,NY,defensemen,20162017,BOS
8471717,https://assets.nhle.com/mugs/nhl/20162017/BOS/8471717.png,Adam,McQuaid,54,D,R,76,210,193,95,1986-10-12,Charlottetown,CAN,PE,defensemen,20162017,BOS
8476525,https://assets.nhle.com/mugs/nhl/20162017/BOS/8476525.png,Colin,Miller,6,D,R,73,200,185,91,1992-10-29,Sault Ste. Marie,CAN,ON,defensemen,20162017,BOS
8476191,https://assets.nhle.com/mugs/nhl/20162017/BOS/8476191.png,Kevan,Miller,86,D,R,74,210,188,95,1987-11-15,Los Angeles,USA,CA,defensemen,20162017,BOS
8476476,https://assets.nhle.com/mugs/nhl/20162017/BOS/8476476.png,Joe,Morrow,45,D,L,72,196,183,89,1992-12-09,Edmonton,CAN,AB,defensemen,20162017,BOS
8476303,https://assets.nhle.com/mugs/nhl/20162017/BOS/8476303.png,Rob,O'Gara,44,D,L,76,214,193,97,1993-07-06,Massapequa,USA,NY,defensemen,20162017,BOS
8471418,https://assets.nhle.com/mugs/nhl/20162017/BOS/8471418.png,Anton,Khudobin,35,G,L,71,210,180,95,1986-05-07,Ust-Kamenogorsk,KAZ,,goalies,20162017,BOS
8475876,https://assets.nhle.com/mugs/nhl/20162017/BOS/8475876.png,Zane,McIntyre,31,G,L,74,206,188,93,1992-08-20,Grand Forks,USA,ND,goalies,20162017,BOS
8471695,https://assets.nhle.com/mugs/nhl/20162017/BOS/8471695.png,Tuukka,Rask,40,G,L,75,176,191,80,1987-03-10,Savonlinna,FIN,,goalies,20162017,BOS
8476876,https://assets.nhle.com/mugs/nhl/20162017/BOS/8476876.png,Malcolm,Subban,70,G,L,74,215,188,98,1993-12-21,Toronto,CAN,ON,goalies,20162017,BOS
8477473,https://assets.nhle.com/mugs/nhl/20162017/BUF/8477473.png,Justin,Bailey,95,R,R,76,214,193,97,1995-07-01,Buffalo,USA,NY,forwards,20162017,BUF
8477491,https://assets.nhle.com/mugs/nhl/20162017/BUF/8477491.png,Nick,Baptiste,13,R,R,73,203,185,92,1995-08-04,Ottawa,CAN,ON,forwards,20162017,BUF
8477478,https://assets.nhle.com/mugs/nhl/20162017/BUF/8477478.png,William,Carrier,48,L,L,74,218,188,99,1994-12-20,LaSalle,CAN,QC,forwards,20162017,BUF
8475235,https://assets.nhle.com/mugs/nhl/20162017/BUF/8475235.png,Nicolas,Deslauriers,44,L,L,73,220,185,100,1991-02-22,LaSalle,CAN,QC,forwards,20162017,BUF
8478403,https://assets.nhle.com/mugs/nhl/20162017/BUF/8478403.png,Jack,Eichel,9,C,R,74,207,188,94,1996-10-28,North Chelmsford,USA,MA,forwards,20162017,BUF
8474589,https://assets.nhle.com/mugs/nhl/20162017/BUF/8474589.png,Tyler,Ennis,63,L,L,69,160,175,73,1989-10-06,Edmonton,CAN,AB,forwards,20162017,BUF
8477392,https://assets.nhle.com/mugs/nhl/20162017/BUF/8477392.png,Hudson,Fasching,24,R,R,75,204,191,93,1995-07-28,Apple Valley,USA,MN,forwards,20162017,BUF
8475220,https://assets.nhle.com/mugs/nhl/20162017/BUF/8475220.png,Marcus,Foligno,82,L,L,75,226,191,103,1991-08-10,Buffalo,USA,NY,forwards,20162017,BUF
8467407,https://assets.nhle.com/mugs/nhl/20162017/BUF/8467407.png,Brian,Gionta,12,R,R,67,178,170,81,1979-01-18,Rochester,USA,NY,forwards,20162017,BUF
8476878,https://assets.nhle.com/mugs/nhl/20162017/BUF/8476878.png,Zemgus,Girgensons,28,L,L,74,200,188,91,1994-01-05,Riga,LVA,,forwards,20162017,BUF
8474683,https://assets.nhle.com/mugs/nhl/20162017/BUF/8474683.png,Derek,Grant,27,C,L,75,210,191,95,1990-04-20,Abbotsford,CAN,BC,forwards,20162017,BUF
8475169,https://assets.nhle.com/mugs/nhl/20162017/BUF/8475169.png,Evander,Kane,9,L,L,74,210,188,95,1991-08-02,Vancouver,CAN,BC,forwards,20162017,BUF
8475728,https://assets.nhle.com/mugs/nhl/20162017/BUF/8475728.png,Johan,Larsson,22,C,L,71,206,180,93,1992-07-25,Lau,SWE,,forwards,20162017,BUF
8477391,https://assets.nhle.com/mugs/nhl/20162017/BUF/8477391.png,Sean,Malone,43,C,L,72,197,183,89,1995-04-30,Buffalo,USA,NY,forwards,20162017,BUF
8470852,https://assets.nhle.com/mugs/nhl/20162017/BUF/8470852.png,Matt,Moulson,,L,L,73,203,185,92,1983-11-01,North York,CAN,ON,forwards,20162017,BUF
8479423,https://assets.nhle.com/mugs/nhl/20162017/BUF/8479423.png,Alex,Nylander,92,R,R,73,192,185,87,1998-03-02,Calgary,CAN,AB,forwards,20162017,BUF
8471811,https://assets.nhle.com/mugs/nhl/20162017/BUF/8471811.png,Cal,O'Reilly,19,C,L,72,188,183,85,1986-09-30,Toronto,CAN,ON,forwards,20162017,BUF
8475158,https://assets.nhle.com/mugs/nhl/20162017/BUF/8475158.png,Ryan,O'Reilly,90,C,L,73,207,185,94,1991-02-07,Clinton,CAN,ON,forwards,20162017,BUF
8473449,https://assets.nhle.com/mugs/nhl/20162017/BUF/8473449.png,Kyle,Okposo,21,R,R,72,218,183,99,1988-04-16,St. Paul,USA,MN,forwards,20162017,BUF
8477933,https://assets.nhle.com/mugs/nhl/20162017/BUF/8477933.png,Sam,Reinhart,23,R,R,74,193,188,88,1995-11-06,West Vancouver,CAN,BC,forwards,20162017,BUF
8478542,https://assets.nhle.com/mugs/nhl/20162017/BUF/8478542.png,Evan,Rodrigues,71,L,R,71,184,180,83,1993-07-28,Toronto,CAN,ON,forwards,20162017,BUF
8476766,https://assets.nhle.com/mugs/nhl/20162017/BUF/8476766.png,Cole,Schneider,10,L,L,74,199,188,90,1990-08-26,Williamsville,USA,NY,forwards,20162017,BUF
8480083,https://assets.nhle.com/mugs/nhl/20162017/BUF/8480083.png,C.J.,Smith,49,L,L,71,191,180,87,1994-12-01,Des Moines,USA,IA,forwards,20162017,BUF
8477041,https://assets.nhle.com/mugs/nhl/20162017/BUF/8477041.png,Brady,Austin,67,D,L,76,230,193,104,1993-06-16,Bobcaygeon,CAN,ON,defensemen,20162017,BUF
8474567,https://assets.nhle.com/mugs/nhl/20162017/BUF/8474567.png,Zach,Bogosian,4,D,R,74,222,188,101,1990-07-15,Massena,USA,NY,defensemen,20162017,BUF
8475982,https://assets.nhle.com/mugs/nhl/20162017/BUF/8475982.png,Erik,Burgdoerfer,46,D,R,73,207,185,94,1988-12-11,Abington,USA,PA,defensemen,20162017,BUF
8473992,https://assets.nhle.com/mugs/nhl/20162017/BUF/8473992.png,Justin,Falk,41,D,L,77,223,196,101,1988-10-11,Snowflake,CAN,MB,defensemen,20162017,BUF
8476166,https://assets.nhle.com/mugs/nhl/20162017/BUF/8476166.png,Taylor,Fedun,27,D,R,73,200,185,91,1988-06-04,Edmonton,CAN,AB,defensemen,20162017,BUF
8471742,https://assets.nhle.com/mugs/nhl/20162017/BUF/8471742.png,Cody,Franson,6,D,R,77,224,196,102,1987-08-08,Sicamous,CAN,BC,defensemen,20162017,BUF
8470324,https://assets.nhle.com/mugs/nhl/20162017/BUF/8470324.png,Josh,Gorges,4,D,L,73,204,185,93,1984-08-14,Kelowna,CAN,BC,defensemen,20162017,BUF
8478425,https://assets.nhle.com/mugs/nhl/20162017/BUF/8478425.png,Brendan,Guhle,45,D,L,74,197,188,89,1997-07-29,Edmonton,CAN,AB,defensemen,20162017,BUF
8475179,https://assets.nhle.com/mugs/nhl/20162017/BUF/8475179.png,Dmitry,Kulikov,77,D,L,73,201,185,91,1990-10-29,Lipetsk,RUS,,defensemen,20162017,BUF
8476931,https://assets.nhle.com/mugs/nhl/20162017/BUF/8476931.png,Jake,McCabe,19,D,L,73,204,185,93,1993-10-12,Eau Claire,USA,WI,defensemen,20162017,BUF
8479268,https://assets.nhle.com/mugs/nhl/20162017/BUF/8479268.png,Casey,Nelson,8,D,R,73,185,185,84,1992-07-18,Wisconsin Rapids,USA,WI,defensemen,20162017,BUF
8477499,https://assets.nhle.com/mugs/nhl/20162017/BUF/8477499.png,Rasmus,Ristolainen,55,D,R,76,221,193,100,1994-10-27,Turku,FIN,,defensemen,20162017,BUF
8475215,https://assets.nhle.com/mugs/nhl/20162017/BUF/8475215.png,Robin,Lehner,40,G,L,76,250,193,113,1991-07-24,Gothenburg,SWE,,goalies,20162017,BUF
8475195,https://assets.nhle.com/mugs/nhl/20162017/BUF/8475195.png,Anders,Nilsson,31,G,L,78,232,198,105,1990-03-19,Lulea,SWE,,goalies,20162017,BUF
8476999,https://assets.nhle.com/mugs/nhl/20162017/BUF/8476999.png,Linus,Ullmark,35,G,L,77,212,196,96,1993-07-31,Lugnvik,SWE,,goalies,20162017,BUF
